"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Morrison, Blake","800101","487","9.8",31.2,"114.7","87.9","76.8","92.4","85.7","436","149","397","178",36.5,"32",6.6,4.3
"Santos, Miguel","800102","445","13.5",33.8,"113.2","89.4","78.5","93.8","86.2","429","168","392","167",37.5,"36",8.1,5.2
"Cooper, Jason","800103","398","11.2",29.7,"112.8","86.7","75.3","90.8","84.5","423","155","388","142",35.7,"28",7.0,4.5
"Yamada, Hiroshi","800104","356","8.4",27.8,"111.4","88.2","77.1","91.6","87.3","418","142","394","129",36.2,"21",5.9,3.8
"Peterson, Kyle","800105","334","15.7",35.4,"115.9","90.1","79.4","94.1","87.8","441","179","403","151",45.2,"39",11.7,7.4
"Ramirez, Fernando","800106","312","10.5",30.6,"110.9","87.5","76.4","91.3","85.9","427","151","389","118",37.8,"25",8.0,5.1
"Jackson, Marcus","800107","287","7.2",28.4,"109.7","86.4","75.8","90.2","86.4","421","138","395","104",36.2,"19",6.6,4.2
"O'Brien, Sean","800108","265","16.8",34.9,"113.6","89.7","78.9","93.5","86.7","433","184","401","112",42.3,"31",11.7,7.3
"Silva, Roberto","800109","243","12.3",32.1,"112.1","88.8","77.6","92.7","85.4","425","163","398","97",39.9,"24",9.9,6.2
"Carter, Andrew","800110","221","9.6",29.3,"111.5","87.3","76.2","91.4","84.8","419","147","392","86",38.9,"18",8.1,5.2
"Lee, Benjamin","800111","198","14.1",33.7,"114.3","89.5","78.3","93.2","87.1","438","172","405","84",42.4,"22",11.1,6.8
"Hernandez, Diego","800112","176","11.8",31.5,"110.8","88.1","77.4","91.8","86.3","429","159","397","71",40.3,"17",9.7,5.9
"Walsh, Patrick","800113","154","8.9",28.7,"109.4","86.9","75.9","90.6","85.1","416","145","391","58",37.7,"13",8.4,5.3
"Taylor, Brandon","800114","142","13.4",30.8,"112.6","88.6","77.8","92.3","86.9","431","167","399","59",41.5,"15",10.6,6.5
