"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Jackson, Derrick","800201","518","16.5",39.2,"118.3","94.2","105.8","98.6","89.7","463","201","410","247",47.7,"94",18.1,12.4
"Sato, Takeshi","800202","483","14.3",35.6,"110.7","89.9","100.9","93.7","86.8","438","181","394","174",36.0,"48",9.9,6.7
"Mitchell, Cameron","800203","456","18.2",37.9,"113.8","91.6","102.7","95.4","87.9","445","196","403","189",41.4,"57",12.5,8.5
"Rivera, Francisco","800204","421","12.9",34.1,"109.5","88.7","99.6","92.8","85.2","430","173","388","161",38.2,"41",9.7,6.5
"Nelson, Ethan","800205","395","15.8",36.4,"112.4","90.8","101.9","94.9","87.6","440","186","399","173",43.8,"49",12.4,8.1
"Park, Min-Jae","800206","368","13.7",32.8,"111.1","89.3","100.4","93.4","86.1","433","175","392","158",42.9,"42",11.4,7.4
"Douglas, Xavier","800207","342","19.6",38.7,"114.6","92.4","103.1","96.2","88.5","449","204","407","167",48.8,"54",15.8,10.2
"Morales, Javier","800208","319","11.5",31.4,"108.9","87.9","99.1","92.1","85.6","426","169","386","134",42.0,"33",10.3,6.8
"Anderson, Cole","800209","296","17.4",35.2,"111.9","90.2","101.3","94.3","87.2","442","192","401","141",47.6,"41",13.9,8.9
"Wong, Steven","800210","274","14.6",33.9,"110.3","89.5","100.6","93.5","86.7","435","178","395","128",46.7,"36",13.1,8.4
"Hughes, Dylan","800211","251","16.1",34.7,"112.2","90.4","101.7","94.6","87.8","441","185","398","116",46.2,"32",12.7,8.1
"Cruz, Miguel","800212","228","12.4",30.9,"109.6","88.6","99.8","92.6","85.9","428","171","389","98",43.0,"27",11.8,7.6
"Bennett, Austin","800213","206","15.3",35.8,"111.8","90.1","101.4","94.1","87.4","436","183","401","93",45.1,"29",14.1,8.9
"Fujimoto, Ryo","800214","189","13.8",32.5,"110.4","89.2","100.2","93.2","86.3","431","176","393","84",44.4,"24",12.7,7.9
