"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Rodriguez, Marco","800001","542","17.2",38.5,"116.8","93.7","104.5","97.2","88.9","458","198","402","238",43.9,"89",16.4,11.2
"Chen, David","800002","498","15.8",36.2,"111.3","90.8","101.6","94.8","87.1","441","184","395","187",37.5,"52",10.4,7.1
"Thompson, Jake","800003","467","19.4",40.1,"114.2","92.1","102.9","96.1","86.5","448","203","408","201",43.0,"61",13.1,8.9
"Williams, Tyrell","800004","423","13.6",35.8,"109.9","89.5","99.8","92.4","85.8","432","176","391","169",40.0,"47",11.1,7.4
"Anderson, Brett","800005","401","16.3",33.7,"112.7","91.3","102.1","95.3","88.2","437","188","398","178",44.4,"44",11.0,7.3
"Martinez, Carlos","800006","378","14.1",34.9,"110.8","88.9","100.3","93.1","84.9","429","170","387","156",41.3,"39",10.3,6.8
"Foster, Daniel","800007","356","18.9",37.4,"113.5","90.4","101.4","94.6","87.3","443","195","404","163",45.8,"48",13.5,8.7
"Kim, Jin-Ho","800008","334","12.4",32.1,"108.7","87.8","98.9","91.8","85.3","425","168","389","142",42.5,"35",10.5,6.9
"Patterson, Ryan","800009","312","20.3",35.6,"115.1","93.8","103.7","96.8","89.6","452","207","410","167",53.5,"51",16.3,10.6
"Harris, Michael","800010","289","15.7",31.8,"110.4","89.2","100.7","93.6","86.4","434","179","393","135",46.7,"38",13.1,8.3
"Garcia, Luis","800011","267","11.8",30.5,"109.2","88.4","99.5","92.3","84.7","421","164","385","121",45.3,"29",10.9,6.8
"Brooks, Tyler","800012","245","17.5",36.8,"112.9","90.6","101.8","94.2","87.9","439","191","399","118",48.2,"33",13.5,8.1
"Nakamura, Kenji","800013","223","14.9",34.2,"111.6","89.7","100.9","93.8","86.1","435","177","396","102",45.7,"26",11.7,7.2
"Reyes, Antonio","800014","198","16.2",33.4,"110.1","88.6","99.4","92.7","85.5","428","183","391","89",44.9,"23",11.6,7.1
