"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Richardson, Tyler","800301","502","10.4",30.8,"115.1","88.5","77.4","92.8","86.3","432","154","399","184",36.7,"35",7.0,4.6
"Kim, Dong-Min","800302","468","12.7",32.6,"113.8","89.1","78.2","93.5","86.9","427","165","395","173",37.0,"38",8.1,5.3
"Thompson, Derek","800303","421","9.5",28.9,"112.4","87.2","76.1","91.2","85.3","422","148","391","148",35.1,"29",6.9,4.4
"Gutierrez, Carlos","800304","389","14.8",34.2,"114.6","90.3","79.1","94.3","87.5","437","176","402","164",42.2,"41",10.5,6.8
"Martinez, Eduardo","800305","356","11.3",31.4,"111.7","88.4","77.3","92.1","86.1","425","157","394","139",39.0,"27",7.6,4.9
"Williams, Joshua","800306","328","8.7",27.5,"110.3","86.8","75.7","90.4","85.7","419","143","388","118",36.0,"22",6.7,4.3
"Suzuki, Kenta","800307","301","15.4",35.1,"115.3","89.8","78.9","93.8","87.2","439","181","404","136",45.2,"36",12.0,7.6
"Brown, Nathan","800308","278","10.8",29.7,"109.8","87.6","76.5","91.5","86.4","424","152","396","107",38.5,"24",8.6,5.5
"Lopez, Ricardo","800309","256","13.6",33.4,"113.2","89.2","78.4","93.1","86.8","431","170","399","103",40.2,"28",10.9,6.9
"Davis, Connor","800310","234","9.2",28.2,"111.6","87.9","76.8","91.7","85.9","420","146","392","92",39.3,"19",8.1,5.2
"Chang, Wei","800311","212","16.2",34.8,"114.8","90.5","79.3","94.1","88.1","435","183","407","95",44.8,"31",14.6,8.7
"Perez, Antonio","800312","189","11.7",30.5,"110.9","88.3","77.1","92.4","86.2","426","161","397","78",41.3,"21",11.1,6.9
"Roberts, Matthew","800313","167","8.4",27.9,"109.5","86.5","75.4","90.8","84.6","417","141","389","63",37.7,"15",9.0,5.6
"Gonzalez, Felipe","800314","151","14.3",32.7,"112.7","89.4","78.6","93.2","87.4","433","174","401","67",44.4,"19",12.6,7.4
