"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Betts, Mookie","605141","394","18.2",35,"107.2","88.6","97.6","90.8","85.8","412","187","390","134",34,"19",4.8,3.8
"Pages, Andy","681624","347","16.4",38.3,"110.6","88.6","99.4","91.7","85","418","184","396","131",37.8,"27",7.8,5.7
"Ohtani, Shohei","660271","321","13.1",34.3,"117.9","94.5","106","101","87.1","448","189","406","186",57.9,"73",22.7,13.2
"Freeman, Freddie","518692","308","15.5",37.3,"114.1","91.4","101","93.6","89.1","421","179","404","144",46.8,"30",9.7,6.5
"Hernández, Teoscar","606192","277","9.3",36.5,"112.5","90.2","102","94.9","85.8","436","166","395","129",46.6,"36",13,9
"Edman, Tommy","669242","251","11.6",33.9,"108.6","87.7","98.9","91","86.4","423","155","393","94",37.5,"12",4.8,3.6
"Smith, Will","669257","247","18.8",41.7,"110.1","91.4","101.3","94.3","87.7","435","203","399","115",46.6,"31",12.6,8.2
"Conforto, Michael","624424","235","14.5",34.5,"112.9","90.2","100.4","93.4","87.4","431","172","409","101",43,"22",9.4,5.9
"Muncy, Max","571970","211","18.9",38.9,"110.5","91.4","102.1","95.2","84.4","433","199","400","111",52.6,"29",13.7,8.4
"Call, Alex","669743","185","13.1",31.9,"109.9","87.7","97.1","90.2","86.8","407","156","388","52",28.1,"8",4.3,3.1
